user,text,date,location,fav_count,re_count,no_followers,hashtags
AtlBizChron,"As the Covid-19 vaccine rollout continues in the metro Atlanta area, local healthcare, business, and school leaders… https://t.co/gk7ROOcTVz",2021-06-18 14:30:10,"Atlanta, Georgia",0,0,197212,[]
trtworld,Turkey's President Recep Tayyip Erdogan says the international community has failed in handling the coronavirus pan… https://t.co/Y3q3Ln3WX3,2021-06-18 14:30:00,,26,9,406802,[]
HumanAmin,"Where did 12,000 crores which #Pakistan got as grants/ gifts to fight covid pandemic gone? #CorruptPakistan… https://t.co/BMXWc7gazd",2021-06-18 14:29:45,"London, England",0,0,237,"['Pakistan', 'CorruptPakistan']"
StarTribune,"COVID-19 rates remained slightly elevated in a handful of Minnesota counties with fewer vaccinations, according to… https://t.co/cu8EJ8qMdn",2021-06-18 14:28:00,"Minneapolis, MN",1,0,391881,[]
hendrixse,"As the world’s biggest donor to #COVAX, the American people are proud to work alongside the global community to ens… https://t.co/f3lAccmHgv",2021-06-18 14:27:46,"Africa, Lat Am, WDC, Wisconsin",1,0,380,['COVAX']
jaingauravmd,"outpatient dialysis staff who were instrumental in providing care, comforting patients, allaying fears and encourag… https://t.co/OTlTQbVuD2",2021-06-18 14:26:23,"Birmingham, AL",1,0,56,[]
Movie_Chumps,Some day soon there is probably going to be a double feature at the local cinema showing the monumental efforts to… https://t.co/awwFoIwuwP,2021-06-18 14:24:43,"Rochester, NY",0,0,43,[]
ruthmkb,"15 months into the pandemic, more than 26K Canadians died from #COVID19, these 20 percenters are still not convince… https://t.co/pVhvXjIO0D",2021-06-18 14:21:57,,45,17,4708,['COVID19']
pcgvr,"""We need the same collaboration... The same persistence that produced a life-saving vaccine in record time. The sam… https://t.co/xr0keQNWhc",2021-06-18 14:16:19,"Philadelphia, PA",0,0,2607,[]
ProgIntl,The US sanctions against Cuba and Venezuela — in the middle of a global pandemic — are not only inhumane and illega… https://t.co/AAsp55USMv,2021-06-18 14:11:44,,80,41,71728,[]
kylebrookings,Got my first COVID-19 vaccine. Pfizer-BioNTech. Feels good to help end this pandemic. 💉,2021-06-18 14:10:54,"St. John's, NL",2,0,1135,[]
NYCHealthSystem,We thank @Cher and @EIFoundation for donating a #COVID19 testing/vaccine bus to serve children and families in need… https://t.co/DcmTXf5TqH,2021-06-18 14:09:58,"New York, NY",11,4,36268,['COVID19']
fengyezhilu007,@C_Mulroney @SenatorVictorOh Top Indian Virologist Claim China Was Ready With COVID-19 Vaccine Even Before The Pand… https://t.co/ij0UNNWXot,2021-06-18 14:09:11,,1,1,65,[]
AshLikeSnow17,"Dr. Robert Malone is the inventor of mRNA Vaccine technology
Steve Kirsch has been researching adverse reactions to… https://t.co/Bg3nV57opQ",2021-06-18 14:08:39,51st State of Jefferson ︻芫═─,0,1,530,[]
bigfatslow,@MsWilsonHH @SDECoxHealth The hubris of “experts” led to the creation of COVID in a Chinese lab and subsequent word… https://t.co/AM9H7RE3eF,2021-06-18 14:07:18,,1,0,19,[]
QueerjohnPA,What we know so far about the Covid-19 Delta variant https://t.co/dotNC3miVT,2021-06-18 14:06:03,north central PA,0,0,6843,[]
pamelarwalker,It's not even science. It's common sense.  When you have a #COVID variant spreading which is more contagious and de… https://t.co/Anvl2AIa0x,2021-06-18 14:05:43,"St. Louis, Mo.",30,7,4285,['COVID']
rajah_mich,@jocalynclark @JAMAInternalMed Elitism. One of the most positive things from this pandemic was the inclusivity dema… https://t.co/W9oV6rB0Id,2021-06-18 14:04:47,"Melbourne, Australia",5,1,4793,[]
davidschraer,Our public health failures in this pandemic are astonishing.  Media hasn’t helped. With only a tiny fraction of the… https://t.co/83Y6cNUxKS,2021-06-18 14:03:37,Seattle,1,0,394,[]
TeamFESA,"What You Need to Know About the Coronavirus

Read the latest updates about Covid-19.

https://t.co/BIiEWBQJFs… https://t.co/N1ys2kkwmB",2021-06-18 14:01:54,"Austin, TX",0,1,2672,[]
bigfatslow,The hubris of “experts” led to the creation of COVID in a Chinese lab and subsequent word wide pandemic.  Now these… https://t.co/G9vs3Fo1so,2021-06-18 14:01:33,,0,0,19,[]
ottawacity,"Today, June 18 at 11:30 am, the City of Ottawa and @ottawahealth will provide an update on the response to the COVI… https://t.co/a95cQjWHPr",2021-06-18 14:00:30,"Ottawa, Ontario, Canada",2,3,218460,[]
healthyleonfl,"When loved ones decide to get a #COVID19 vaccine, help make it happen. Offer to make the appointment, go with them,… https://t.co/Dydt2EUc1l",2021-06-18 14:00:03,,1,2,592,['COVID19']
MilanV,"ICYMI, @NihaMasih of @washingtonpost was my guest on #GrandTamasha this week. We discussed her reporting on India's… https://t.co/Q931JJdH3y",2021-06-18 13:59:17,"Washington, DC",1,0,34772,['GrandTamasha']
TorchSearch,Torch runs algorithmic scans focused on the COVID-19 pandemic across our database of over 2 million nonprofit socia… https://t.co/YCIvLsp8IR,2021-06-18 13:58:26,,0,0,74,[]
TorchSearch,Torch runs algorithmic scans focused on the COVID-19 pandemic and ranks UNITED STATES ASSOCIATION FOR UNHCR as the… https://t.co/rS8GzTszjx,2021-06-18 13:58:26,,0,0,74,[]
TorchSearch,Torch runs algorithmic scans focused on the COVID-19 pandemic across our database of over 2 million nonprofit socia… https://t.co/tJYRnPDjkN,2021-06-18 13:58:26,,0,0,74,[]
NYCHealthSystem,#FridayReads: We thank @cher and @EIFoundation for donating a #COVID19 testing/vaccine bus to serve children and fa… https://t.co/iCptqyi229,2021-06-18 13:58:02,"New York, NY",4,1,36268,"['FridayReads', 'COVID19']"
nehakhanna_07,"TN CM Stalin says the Centre doesn’t want to talk about vaccine shortage. As the Centre &amp; states slug it out, we as… https://t.co/m32a97izCU",2021-06-18 13:55:34,New Delhi,16,3,4438,[]
KATUNews,Oregon is showing more signs of progress amid the COVID-19 pandemic as yet another county moves to the state’s “low… https://t.co/eV2TudURAn,2021-06-18 13:49:25,"Portland, Oregon",6,1,218019,[]
carter_schwartz,Equitable &amp; global distribution of the Covid-19 vaccine will be a challenging task for humanity. It requires cooper… https://t.co/85aLc9CJx0,2021-06-18 13:47:55,📍London Bristol Munich NY,1,1,812,[]
KING5Seattle,The prize was claimed Thursday morning at the Washington's Lottery regional office. https://t.co/KWiuh1TfJa,2021-06-18 13:47:16,"Seattle, Washington, USA",8,0,672100,[]
kamorant,"@ATabarrok We're still having a pandemic here, cases are high, ICUs still have Covid patients, and the vaccine roll… https://t.co/7On8ECGdnr",2021-06-18 13:45:02,"Ontario, Canada",7,0,2716,[]
evolambert,"Not everyone who wants a vaccine can easily get one in the US.

I went to Philly to see how a small, dedicated team… https://t.co/2FhdGFYVUb",2021-06-18 13:42:14,"Washington, DC",293,123,2407,[]
danielkotzin,"The title of this photo:
“Self-Portrait of a Covid Vaccine Decliner”

Unlike getting vaccinated, giving blood is a… https://t.co/YrPSyXLLq2",2021-06-18 13:38:33,"Denver, CO",149,10,10750,[]
Amerita,@findadomain @123SafeonMe @Gotta_Jimmy @tencents77 What part of global pandemic and thousands of people dying per d… https://t.co/pHDpZpMRKE,2021-06-18 13:38:06,,0,0,1253,[]
advithri,Everyone knows the basic precaution against the pandemic. Here are some tips that you are avoiding in your daily li… https://t.co/EeVp6R0T21,2021-06-18 13:36:28,"Frisco, Texas 75035, US",0,0,15,[]
ThatGuyMagZ,People have to stop saying we’re “post pandemic.” My sister got covid and was in the hospital like two weeks ago. P… https://t.co/dGtzlKEyKW,2021-06-18 13:35:20,New Jersey,19,1,255,[]
reachxdias,"The G7 Is Prolonging the Pandemic, Here's What We Need to End It https://t.co/frpdxgso8Y via @thewire_in",2021-06-18 13:34:15,Ranchi Jharkhand,0,0,2181,[]
andtoneveryield,"6/9/21
‘Urgent’ British report calls for complete cessation of #COVID injections in humans""

The UK's Evidence-Base… https://t.co/k57KVnQ3EX",2021-06-18 13:32:47,,0,0,33,['COVID']
comhbha,This is the result of politicizing /profitizing the Covid pandemic. What should be a global effort has become capit… https://t.co/YzGWikmzXs,2021-06-18 13:32:47,,0,0,1255,[]
thewire_in,"As of today, the G7 countries have purchased over a third of the world’s vaccine supply, despite making up only 13%… https://t.co/pElnjLVk3a",2021-06-18 13:30:03,,20,10,1086262,[]
ChankarNish,"Pandemic day off: (1) torrential downpour, (2) COVID-19 vaccine #2, (3) celebrating National Blood Donor Week ✅ ✅ ✅… https://t.co/hTQbrViUuS",2021-06-18 13:29:49,,10,0,99,[]
Ground_app,This news story currently has 0% coverage from news sources on the right. Get the full picture and compare how 10+… https://t.co/WpK3iNn1qg,2021-06-18 13:28:14,"Kitchener, ON ",1,0,12850,[]
Ground_app,"@deGourlay Are you getting all the info on #AstraZeneca? If you read Reuters, don't miss out on what 9 other source… https://t.co/Jejmtx6nVM",2021-06-18 13:28:13,"Kitchener, ON ",0,0,12850,['AstraZeneca']
unnaye,"#DailyScreaming

June 30th vaccine bookings for my age group will open. Yay! (I know it's taken days for people to… https://t.co/bF5KQ3f5I0",2021-06-18 13:25:27,"the swedish forest, mostly",16,0,483,['DailyScreaming']
sebeys,Could J&amp;J and Astrazenca be the last traditionally made vacancies because of overblown PR issues in rich countries… https://t.co/A3waLjuKtv,2021-06-18 13:24:58,Ireland,0,0,235,[]
HostelPanama,"@whiteyda3rd @Combat__COVID In 2015 I published a book about a global pandemic called, “Absent 2032” ... the global… https://t.co/5l9R9CWjTM",2021-06-18 13:22:45,Panama,1,1,39,[]
Aurorachild,"Would you give up your #humanrights for #Covid_19?
You just did.
#pandemic #COVID #COVID19 #vaccine #coronavirus",2021-06-18 13:20:52,Bolton,0,0,1024,"['humanrights', 'Covid_19', 'pandemic', 'COVID', 'COVID19', 'vaccine', 'coronavirus']"
_theghettomonk,"Worst conspiracies the pandemic gave us:

1. China made covid in a lab and unleashed it on the rest of the world… https://t.co/udjYAejNaL",2021-06-18 13:18:13,he/him,201,43,8640,[]
BrandIsFemale,"While the western world is opening back up and celebrating lifted restrictions, low-income countries are still in t… https://t.co/JuCcISpstO",2021-06-18 13:14:18,Canada,0,0,171,[]
TomBollyky,Here are a few of the later pieces building on how to build global supply for those who want to read more:… https://t.co/aG4ZbF4C0E,2021-06-18 13:08:59,"Washington, D.C.",2,1,6012,[]
GaitiHasan,"Vaccine nationalism is killing us. We need an internationalist approach | Rogelio Mayta, KK Shailaja and Anyang’ Ny… https://t.co/LdVzDn8XrL",2021-06-18 13:04:04,"Bengaluru, India",4,0,852,[]
news_az,"#Azerbaijan administers over 38,000 #COVID19 #vaccine shots in a day https://t.co/YLUkxUKeYM #coronavirus… https://t.co/XOtGrMwXRq",2021-06-18 13:03:51,Azerbaijan,1,0,4217,"['Azerbaijan', 'COVID19', 'vaccine', 'coronavirus']"
india_fights_,"GET YOUR VACCINE! Before third wave #vaccine #Patna #Bihar #BiharFightsCorona 

https://t.co/xqNxm2oFhl",2021-06-18 12:55:30,India,0,0,94,"['vaccine', 'Patna', 'Bihar', 'BiharFightsCorona']"
kimvie,"""conversation about pandemic disparities has centered around how health inequities led to higher mortality rates in… https://t.co/lACr274zHS",2021-06-18 12:52:01,,0,0,2794,[]
opheliasage9,"@CarlyMR86 @TMZ I know many, MANY healthy people who died from COVID. Are you disputing the SAFE vaccine without ev… https://t.co/NPzNyvb6yi",2021-06-18 12:49:04,,0,0,40,[]
Plutocracy1,Questioning authority limits authority &amp; creates democracy. We should be questioning the type of #vaccines being pr… https://t.co/lQCUswu9cy,2021-06-18 12:46:29,USA ,0,0,87,['vaccines']
